seed,stress_level,method,task_success,deployed_violation,unshielded_violation,intervention_rate,intervention_severity,filter_dependence,boundary_f1,boundary_ece,transfer_violation,recovery_success,robust_utility,mechanism_utility,action_regret
0,0.8,oracle_boundary_teacher,0.397222,0.258333,0.888889,1.000000,0.097962,0.171150,0.910741,0.038447,0.650000,0.630556,0.131753,0.101476,0.370993
0,0.8,recovery_policy_shield,0.380556,0.408333,0.930556,0.944444,0.198199,0.664356,0.886115,0.155098,0.875000,0.519444,-0.113466,-0.215051,0.537954
0,0.8,robust_mpc_shield,0.461111,0.272222,0.930556,0.994444,0.253733,0.850750,0.907436,0.184130,0.922222,0.658333,-0.000404,-0.303482,0.528251
0,0.8,safety_filter_distillation,0.155556,0.627778,0.930556,0.975000,0.146902,0.333900,0.901840,0.161056,0.861111,0.313889,-0.403922,-0.092865,0.606688
0,0.8,shielded_behavior_cloning,0.102778,0.697222,0.925000,0.883333,0.139126,0.385633,0.852989,0.183388,0.902778,0.252778,-0.511882,-0.121275,0.654274
0,0.8,unfiltered_policy,0.013889,0.930556,0.930556,0.000000,0.000000,0.000000,0.000000,0.662921,0.947222,0.000000,-0.637033,0.015778,0.695000
0,1.0,action_clipping_filter,0.097222,0.625000,0.947222,0.975000,0.254450,0.798367,0.900763,0.152997,0.963889,0.338889,-0.590814,-0.333914,0.722961
0,1.0,adversarial_safety_critic,0.105556,0.694444,0.941667,0.869444,0.145134,0.363856,0.849271,0.264222,0.897222,0.269444,-0.503699,-0.128837,0.645298
0,1.0,boundary_learning_filter_v4,0.100000,0.658333,0.911111,0.986111,0.155612,0.329097,0.910470,0.096735,0.819444,0.269444,-0.481141,-0.062396,0.622569
0,1.0,cbf_safety_filter,0.297222,0.330556,0.952778,0.988889,0.275798,0.885689,0.909091,0.183006,0.958333,0.622222,-0.221161,-0.359619,0.597060
0,1.0,conformal_uncertainty_shield,0.258333,0.413889,0.950000,1.000000,0.335514,0.924733,0.915663,0.252018,0.938889,0.541667,-0.338150,-0.379930,0.642138
0,1.0,counterfactual_boundary_learning_filter_v5,0.172222,0.552778,0.919444,0.991667,0.166594,0.264600,0.910741,0.083290,0.769444,0.372222,-0.329089,-0.028973,0.560983
0,1.0,geometric_projection_filter,0.152778,0.577778,0.930556,0.880556,0.194193,0.689256,0.866345,0.238349,0.952778,0.372222,-0.464025,-0.259543,0.669599
0,1.0,lagrangian_safe_rl,0.138889,0.641667,0.941667,0.916667,0.130189,0.366100,0.870662,0.201735,0.913889,0.311111,-0.432628,-0.129654,0.622522
0,1.0,oracle_boundary_teacher,0.361111,0.219444,0.913889,1.000000,0.101954,0.171600,0.915663,0.021561,0.683333,0.694444,0.117790,0.066045,0.366544
0,1.0,recovery_policy_shield,0.355556,0.369444,0.938889,0.988889,0.212435,0.697244,0.909091,0.124359,0.905556,0.572222,-0.125382,-0.246531,0.537019
0,1.0,robust_mpc_shield,0.430556,0.269444,0.950000,0.997222,0.261384,0.855500,0.914027,0.137693,0.961111,0.683333,-0.033339,-0.338350,0.535420
0,1.0,safety_filter_distillation,0.155556,0.605556,0.933333,0.991667,0.153186,0.340200,0.910741,0.132618,0.866667,0.338889,-0.392965,-0.100123,0.601464
0,1.0,shielded_behavior_cloning,0.088889,0.719444,0.944444,0.922222,0.147603,0.403522,0.874214,0.175753,0.925000,0.244444,-0.546253,-0.156529,0.667836
0,1.0,unfiltered_policy,0.016667,0.952778,0.938889,0.000000,0.000000,0.000000,0.000000,0.650785,0.952778,0.000000,-0.648193,0.005122,0.701556
1,0.0,action_clipping_filter,0.263889,0.533333,0.836111,0.897222,0.212666,0.694928,0.764602,0.124806,0.838889,0.316667,-0.328282,-0.133318,0.640360
1,0.0,adversarial_safety_critic,0.263889,0.666667,0.794444,0.413889,0.061820,0.167078,0.552430,0.277019,0.713889,0.138889,-0.259506,0.165171,0.566132
1,0.0,boundary_learning_filter_v4,0.344444,0.536111,0.805556,0.747222,0.101253,0.235569,0.704501,0.151844,0.677778,0.291667,-0.117398,0.139080,0.513561
1,0.0,cbf_safety_filter,0.555556,0.325000,0.811111,0.894444,0.217220,0.760878,0.780142,0.177150,0.830556,0.486111,0.090725,-0.117494,0.518094
1,0.0,conformal_uncertainty_shield,0.536111,0.350000,0.822222,0.866667,0.249824,0.760642,0.768953,0.267558,0.813889,0.475000,0.046278,-0.130684,0.531023
1,0.0,counterfactual_boundary_learning_filter_v5,0.394444,0.497222,0.752778,0.725000,0.104872,0.183867,0.711730,0.104129,0.613889,0.272222,-0.030781,0.232029,0.477963
1,0.0,geometric_projection_filter,0.311111,0.591667,0.836111,0.558333,0.110420,0.413417,0.613995,0.226145,0.830556,0.255556,-0.230251,-0.009269,0.594197
1,0.0,lagrangian_safe_rl,0.313889,0.627778,0.830556,0.511111,0.063783,0.195417,0.605634,0.200676,0.758333,0.180556,-0.190084,0.107003,0.550642
1,0.0,oracle_boundary_teacher,0.622222,0.116667,0.736111,0.944444,0.076692,0.154100,0.804124,0.039294,0.461111,0.625000,0.462912,0.330337,0.274786
1,0.0,recovery_policy_shield,0.563889,0.391667,0.825000,0.777778,0.147159,0.522522,0.743295,0.126680,0.719444,0.438889,0.129247,0.002820,0.469747
1,0.0,robust_mpc_shield,0.658333,0.244444,0.825000,0.916667,0.209421,0.745500,0.783217,0.132015,0.822222,0.580556,0.254426,-0.116219,0.459311
